
1624049636.21321,A24ZQ9799KGBTO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24ZQ9799KGBTO'}
1624049657.717408,A24ZQ9799KGBTO,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A24ZQ9799KGBTO'}
1624049665.706134,A24ZQ9799KGBTO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24ZQ9799KGBTO'}
1624049798.10424,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624049799.023916,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24ZQ9799KGBTO'}
1624049800.252166,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624049800.252638,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624049830.674272,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624049960.611133,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24ZQ9799KGBTO'}
1624049961.225587,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24ZQ9799KGBTO'}
1624049961.85645,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24ZQ9799KGBTO'}
1624049962.299298,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24ZQ9799KGBTO'}
1624049962.766416,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24ZQ9799KGBTO'}
1624049963.684442,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24ZQ9799KGBTO'}
1624049964.092101,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24ZQ9799KGBTO'}
1624049964.914041,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624049965.117701,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624049965.759007,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24ZQ9799KGBTO'}
1624049965.858686,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24ZQ9799KGBTO'}
1624049966.479884,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24ZQ9799KGBTO'}
1624049967.33951,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24ZQ9799KGBTO'}
1624049967.986138,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624049968.602168,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624049969.524315,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624049969.524786,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624049970.753056,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624049970.863254,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624049971.367259,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624049972.285118,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624049972.411959,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624049973.830053,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624049973.951268,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624049974.44401,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624049975.059007,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624049976.206911,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624049976.9025,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624049977.816037,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624049978.12516,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624049979.355072,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624049979.356115,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624050009.772931,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624050664.311622,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24ZQ9799KGBTO'}
1624050665.029952,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624050665.649063,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624050666.258379,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624050667.483756,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24ZQ9799KGBTO'}
1624050667.692039,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24ZQ9799KGBTO'}
1624050668.71711,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24ZQ9799KGBTO'}
1624050668.718056,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24ZQ9799KGBTO'}
1624050669.634118,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24ZQ9799KGBTO'}
1624050670.25294,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624050672.096227,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624050672.410896,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624050673.322563,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624050674.086829,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624050675.166928,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24ZQ9799KGBTO'}
1624050675.786173,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24ZQ9799KGBTO'}
1624050676.396809,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624050677.625703,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624050678.240461,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624050678.852179,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24ZQ9799KGBTO'}
1624050679.057674,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24ZQ9799KGBTO'}
1624050681.924061,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24ZQ9799KGBTO'}
1624050682.168527,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24ZQ9799KGBTO'}
1624050684.995078,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24ZQ9799KGBTO'}
1624050685.921074,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624050688.68445,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624050688.685196,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624050718.791441,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624051455.771198,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624051456.077273,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24ZQ9799KGBTO'}
1624051456.691296,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24ZQ9799KGBTO'}
1624051457.305363,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24ZQ9799KGBTO'}
1624051458.841753,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24ZQ9799KGBTO'}
1624051458.991282,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24ZQ9799KGBTO'}
1624051460.070745,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24ZQ9799KGBTO'}
1624051460.68933,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24ZQ9799KGBTO'}
1624051461.294566,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24ZQ9799KGBTO'}
1624051462.220295,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24ZQ9799KGBTO'}
1624051462.2217,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24ZQ9799KGBTO'}
1624051464.063337,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24ZQ9799KGBTO'}
1624051464.064364,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24ZQ9799KGBTO'}
1624051465.298678,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624051465.412619,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624051466.214963,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624051466.245013,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624051467.255263,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624051467.256775,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624051468.364187,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624051468.768443,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624051469.282484,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624051469.313291,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624051470.520202,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624051470.521219,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624051471.436089,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624051471.436886,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624051473.280373,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624051473.281043,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624051503.696433,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624051518.134522,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24ZQ9799KGBTO'}
1624051519.664083,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624051521.511717,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624051523.55332,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624051524.276581,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24ZQ9799KGBTO'}
1624051526.727786,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624051527.962202,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24ZQ9799KGBTO'}
1624051528.879301,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24ZQ9799KGBTO'}
1624051593.089373,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624051593.102334,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624051623.195795,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624051626.889166,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24ZQ9799KGBTO'}
1624051627.823012,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24ZQ9799KGBTO'}
1624051628.413188,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24ZQ9799KGBTO'}
1624051629.335048,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24ZQ9799KGBTO'}
1624051630.267829,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24ZQ9799KGBTO'}
1624051630.869995,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24ZQ9799KGBTO'}
1624051632.10759,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24ZQ9799KGBTO'}
1624051632.723712,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24ZQ9799KGBTO'}
1624051633.637905,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24ZQ9799KGBTO'}
1624051634.453214,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24ZQ9799KGBTO'}
1624051636.407482,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624051636.411513,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624051637.329304,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624051637.402287,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624051638.558759,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624051638.713175,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624051639.470681,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624051639.489824,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624051640.087706,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624051640.244883,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624051641.007302,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624051641.08279,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624051641.930326,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624051642.020298,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624051643.772793,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'complete', 'score': 14, 'worker-id': 'A24ZQ9799KGBTO'}
1624051643.774204,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624051643.777435,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624051650.535903,A24ZQ9799KGBTO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24ZQ9799KGBTO'}
1624051683.71378,A24ZQ9799KGBTO,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A24ZQ9799KGBTO'}
1624051692.638539,A24ZQ9799KGBTO,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A24ZQ9799KGBTO'}
1624051697.22547,A24ZQ9799KGBTO,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A24ZQ9799KGBTO', 'stage': 0}
1624051698.454048,A24ZQ9799KGBTO,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7685714285714286,0.9028571428571428]', 'worker-id': 'A24ZQ9799KGBTO', 'stage': 0}
1624051699.376178,A24ZQ9799KGBTO,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8014285714285714,0.8928571428571429]', 'worker-id': 'A24ZQ9799KGBTO', 'stage': 0}
