
1624232257.395544,A25BQO3PXRZ3JJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232261.154656,A25BQO3PXRZ3JJ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232273.675913,A25BQO3PXRZ3JJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232311.467358,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232312.275412,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232335.422402,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232348.324309,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232348.937408,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232349.215871,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232350.16855,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232351.087124,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232351.703097,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232352.211522,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232352.931127,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232353.543931,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232353.705158,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232354.466864,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232354.77356,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232356.004823,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232356.616281,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232357.232613,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232357.846942,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232358.461786,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232359.383625,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232363.684399,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232364.301192,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232373.208036,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232373.209682,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232375.051007,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232375.050329,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232377.819314,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232377.820835,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232381.806428,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232381.807178,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232383.214548,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232383.959757,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232384.576114,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232384.852319,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232385.799902,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232387.029234,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232387.646994,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232387.826945,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232389.181319,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232390.102994,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232390.716158,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232391.33479,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232392.253638,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232392.616187,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232393.482029,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232394.404321,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232395.018523,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232395.633101,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232395.633883,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232396.559164,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232397.784047,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232397.784583,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232404.849905,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232404.850529,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232407.304982,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232408.534795,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232409.455601,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232410.375446,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232410.995196,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232413.75896,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232417.445018,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232419.309127,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232420.209921,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232420.320606,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232421.439609,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232422.053934,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232424.203571,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232424.205279,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232426.046387,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232426.04719,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232427.891383,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232428.503417,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232429.429093,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232430.041113,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232431.576346,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232431.576984,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232432.804022,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232432.821108,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232434.03299,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232434.280836,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232436.282802,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232436.283508,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232438.331519,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232439.867379,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232440.278465,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232441.096819,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232442.635427,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232442.636145,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232445.399921,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232446.628736,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232447.550538,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232448.780805,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232450.009912,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232450.934772,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232451.237178,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232452.789743,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232453.999955,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232457.685786,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232457.687199,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232460.455611,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232460.456649,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232462.602242,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232464.445641,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232465.061612,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232465.981448,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232466.595324,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232467.825463,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232468.747456,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232469.666491,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232471.203582,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232471.204124,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232473.355455,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232473.356084,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232484.723185,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232487.18011,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232488.718302,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232489.639226,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232490.557369,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232494.007322,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232495.784372,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232496.39362,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232496.458272,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232497.317502,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232501.309619,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232501.925737,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232502.232075,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232527.423407,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232527.423861,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232533.262787,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232537.868446,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232538.791557,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232540.018306,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232540.632516,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232556.004475,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232556.008619,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232572.279087,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232574.429306,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232578.420814,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232581.488825,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232603.307019,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232603.308581,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232604.226895,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A25BQO3PXRZ3JJ'}
