
1624224881.80857,A123R7AGMJMYT7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A123R7AGMJMYT7'}
1624224898.097686,A123R7AGMJMYT7,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A123R7AGMJMYT7'}
1624224907.62415,A123R7AGMJMYT7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A123R7AGMJMYT7'}
1624225451.462941,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7342857142857143,0.8085714285714286]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225451.638168,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7542857142857143,0.7685714285714286]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225451.872252,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7628571428571429,0.7457142857142857]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225452.048044,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7571428571428571,0.7085714285714285]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225452.495031,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.72,0.6685714285714286]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225452.59481,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6457142857142857,0.5857142857142857]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225452.903433,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6285714285714286,0.5714285714285714]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225453.057516,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5542857142857143,0.5428571428571428]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225453.515479,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.5257142857142857]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225453.575116,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.43142857142857144,0.5]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225454.129084,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.26285714285714284,0.5085714285714286]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225454.130557,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.35714285714285715,0.4857142857142857]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225454.25926,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.22,0.5485714285714286]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225454.745486,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.20285714285714285,0.6914285714285714]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225454.909258,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.2714285714285714,0.7314285714285714]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225455.360191,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.38571428571428573,0.7685714285714286]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225455.364047,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.38285714285714284,0.7657142857142857]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
