
1624155429.129571,AVUI25K9PIY6Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AVUI25K9PIY6Z'}
1624155435.072735,AVUI25K9PIY6Z,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AVUI25K9PIY6Z'}
1624155445.515364,AVUI25K9PIY6Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AVUI25K9PIY6Z'}
1624155462.720242,AVUI25K9PIY6Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AVUI25K9PIY6Z'}
1624155528.761708,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155529.375133,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155533.985588,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155533.98478,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155534.010511,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155534.599719,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155534.61848,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155535.520916,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155536.336525,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.157935,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.159169,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.160757,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.162078,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.670277,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.669491,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.690109,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155537.960515,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155538.148937,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155539.512917,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155540.124364,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155541.354061,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155541.354768,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155541.356059,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155541.435368,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155541.447635,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155542.27426,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155542.275059,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155542.891617,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155542.89282,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155543.196213,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155544.120318,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155544.120837,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155544.213428,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155544.431824,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155547.500688,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155550.880304,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155551.189162,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155551.189904,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155552.110884,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155552.109991,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155553.031372,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155554.875513,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AVUI25K9PIY6Z'}
1624155554.87596,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AVUI25K9PIY6Z'}
1624155554.958197,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AVUI25K9PIY6Z'}
1624155555.792313,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155555.935956,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155556.716789,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155557.637237,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155557.638845,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155557.808296,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155558.866376,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155558.867671,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155566.541698,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155566.542566,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155566.54474,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155566.636545,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155567.160174,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155567.273061,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155567.774732,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155567.775986,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155568.50581,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155568.659096,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155568.980654,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155569.614016,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155570.845737,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155570.89874,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155571.080663,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155571.767177,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155572.378619,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155572.379462,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155572.993492,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155572.994387,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155573.919133,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155573.919997,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155574.53245,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155574.609872,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155574.7191,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155575.148107,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155575.296893,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155576.376003,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155576.683855,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155576.718625,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155576.781393,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155577.088673,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155577.396056,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155578.21886,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155578.220128,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155579.139623,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155579.753088,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155579.754059,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155580.211461,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155580.218197,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155580.343727,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155580.97947,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155581.036387,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155581.389608,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155581.554705,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155582.213816,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155583.443113,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155583.442408,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155583.444739,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155583.544605,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155583.544123,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155584.360957,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155584.36195,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155584.363757,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155585.284374,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155585.283808,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155585.284913,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155585.561569,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155585.666053,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155586.510333,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155586.510979,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155587.125881,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155587.126545,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155587.270471,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155588.352876,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155588.353951,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155588.353256,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155588.586117,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155588.796562,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155590.0472,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155590.812039,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155591.423659,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155592.038395,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155593.267451,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155604.94545,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155604.946501,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AVUI25K9PIY6Z'}
1624155604.949364,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AVUI25K9PIY6Z'}
1624155613.853215,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AVUI25K9PIY6Z'}
1624155613.854097,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AVUI25K9PIY6Z'}
1624155618.154607,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155620.575349,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AVUI25K9PIY6Z'}
1624155620.729042,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AVUI25K9PIY6Z'}
1624155626.445742,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AVUI25K9PIY6Z'}
1624155626.453281,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AVUI25K9PIY6Z'}
1624155628.903105,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155628.912835,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155629.516164,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155630.437244,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155630.438325,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155630.463542,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155631.051022,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
