
1624042674.087328,A31A1PVXLJBISZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A31A1PVXLJBISZ'}
1624042723.237673,A31A1PVXLJBISZ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A31A1PVXLJBISZ'}
1624042764.403842,A31A1PVXLJBISZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A31A1PVXLJBISZ'}
1624043040.579193,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A31A1PVXLJBISZ'}
1624043040.580486,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A31A1PVXLJBISZ'}
1624043070.382734,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043094.346297,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A31A1PVXLJBISZ'}
1624043096.184308,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A31A1PVXLJBISZ'}
1624043096.60865,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A31A1PVXLJBISZ'}
1624043097.423904,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624043097.681312,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043097.75866,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043098.647436,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043098.809223,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043099.563975,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043100.180126,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A31A1PVXLJBISZ'}
1624043100.393108,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043101.406965,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A31A1PVXLJBISZ'}
1624043102.023884,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A31A1PVXLJBISZ'}
1624043102.637927,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A31A1PVXLJBISZ'}
1624043103.249873,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043104.17385,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624043104.786498,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043106.714055,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043107.136894,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A31A1PVXLJBISZ'}
1624043137.657857,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043139.500639,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043140.116131,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043140.424671,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043141.036586,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043142.26719,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043147.40496,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043149.638519,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043150.866711,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043151.484271,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043152.095414,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043153.32263,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043155.779225,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A31A1PVXLJBISZ'}
1624043156.395077,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A31A1PVXLJBISZ'}
1624043158.239953,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043158.852352,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043160.08657,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043161.006033,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A31A1PVXLJBISZ'}
1624043161.924138,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624043162.851874,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624043163.46256,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043164.076679,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A31A1PVXLJBISZ'}
1624043164.692447,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A31A1PVXLJBISZ'}
1624043165.411524,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A31A1PVXLJBISZ'}
1624043165.578947,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043166.228765,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043166.632974,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A31A1PVXLJBISZ'}
1624043167.597851,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043168.689557,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043185.276359,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A31A1PVXLJBISZ'}
1624043185.277921,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043215.072063,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043217.530044,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043217.837431,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043218.758097,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043219.987893,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043220.294416,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043220.9077,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043222.135068,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043222.225759,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043222.749999,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043232.278942,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A31A1PVXLJBISZ'}
1624043232.279705,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A31A1PVXLJBISZ'}
1624043232.285501,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A31A1PVXLJBISZ'}
1624043232.910244,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043233.503952,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A31A1PVXLJBISZ'}
1624043235.348679,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043235.351183,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043237.192035,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624043238.075902,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043239.345053,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A31A1PVXLJBISZ'}
1624043239.953548,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043240.567943,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043241.796414,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A31A1PVXLJBISZ'}
1624043242.41167,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A31A1PVXLJBISZ'}
1624043243.331721,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624043258.376169,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043258.408148,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A31A1PVXLJBISZ'}
1624043288.494255,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043298.3297,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043298.56084,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043299.244175,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043299.4544,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043300.520978,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A31A1PVXLJBISZ'}
1624043300.521542,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A31A1PVXLJBISZ'}
1624043302.321571,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043302.32224,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043302.950604,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043303.081368,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043303.852159,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A31A1PVXLJBISZ'}
1624043304.014487,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A31A1PVXLJBISZ'}
1624043304.77812,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043305.386832,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043306.000641,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A31A1PVXLJBISZ'}
1624043306.621182,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A31A1PVXLJBISZ'}
1624043307.229824,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A31A1PVXLJBISZ'}
1624043307.845191,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A31A1PVXLJBISZ'}
1624043308.012826,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A31A1PVXLJBISZ'}
1624043308.767047,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A31A1PVXLJBISZ'}
1624043309.073427,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A31A1PVXLJBISZ'}
1624043309.219572,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A31A1PVXLJBISZ'}
1624043309.410466,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A31A1PVXLJBISZ'}
1624043311.532101,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043311.532974,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043311.622803,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624043312.767553,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624043312.768036,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624043312.875043,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624043313.993446,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043314.064395,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043315.218196,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043316.140256,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043316.213437,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043316.758734,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043317.677487,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624043318.314165,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A31A1PVXLJBISZ'}
1624043318.90869,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A31A1PVXLJBISZ'}
1624043320.440113,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A31A1PVXLJBISZ'}
1624043320.445763,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043351.16481,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624043352.086689,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A31A1PVXLJBISZ'}
1624043352.700965,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A31A1PVXLJBISZ'}
1624043353.315588,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A31A1PVXLJBISZ'}
1624043354.234208,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A31A1PVXLJBISZ'}
1624043354.84762,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A31A1PVXLJBISZ'}
1624043356.078325,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A31A1PVXLJBISZ'}
1624043357.002387,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043357.615726,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A31A1PVXLJBISZ'}
1624043358.532795,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624043359.739519,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A31A1PVXLJBISZ'}
1624043362.219668,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624043363.142259,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A31A1PVXLJBISZ'}
1624043363.756241,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043363.879829,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A31A1PVXLJBISZ'}
1624043364.98408,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A31A1PVXLJBISZ'}
1624043365.599941,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A31A1PVXLJBISZ'}
1624043365.667101,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043366.950255,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043367.103139,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A31A1PVXLJBISZ'}
1624043367.414684,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A31A1PVXLJBISZ'}
1624043367.749757,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043367.952338,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A31A1PVXLJBISZ'}
1624043368.97951,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
1624043368.980369,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A31A1PVXLJBISZ'}
