
1624729275.929602,A6E3QAJIQOFBQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729333.41262,A6E3QAJIQOFBQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729551.433419,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729552.133268,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729552.257555,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729552.45484,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729553.681082,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729553.805673,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729554.035726,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729554.586231,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729556.43041,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729557.046002,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729557.046897,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729577.322579,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729577.3221,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729606.201951,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729606.203641,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729636.313968,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729665.803273,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729665.921547,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729666.420814,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729667.646121,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729667.957582,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729669.318261,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729670.104487,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729671.076269,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729671.570062,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729671.950064,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729672.386425,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729672.954265,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729673.397704,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729674.099367,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729674.199723,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729674.811997,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729675.327254,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729675.941991,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729676.555149,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729676.757369,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729678.709215,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729680.857689,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729680.856962,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729710.967693,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729713.733212,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729714.34831,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729715.576197,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729716.189671,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729716.501225,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729717.112469,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729717.257472,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729717.723231,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729718.031993,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729718.952291,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729719.476533,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729719.848023,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729720.490777,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729721.102495,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729721.721339,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729721.722502,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729722.338681,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729722.640694,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729722.946551,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729723.560317,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729724.486156,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729724.601634,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729725.709777,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729725.711231,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729755.821885,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729758.283926,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729758.895827,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729759.887797,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729760.172041,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729761.146873,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729762.372223,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729762.466489,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729763.194897,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729763.80596,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729764.425241,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729764.684638,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729765.344387,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729765.588289,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729766.264906,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729766.879357,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729767.497181,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729767.624195,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729768.41502,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729769.02912,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729769.04799,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729769.952443,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729772.416333,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729772.417247,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729802.524579,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729804.670033,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729804.765073,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729805.902636,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729806.20388,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729807.125108,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729807.22436,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729808.047595,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729808.357642,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729809.026994,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729809.892959,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729809.899136,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729810.34397,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729811.11782,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729811.526392,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729812.041034,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729812.348788,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729812.656145,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729813.26852,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729813.580385,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729814.230945,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729814.80665,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729815.41885,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729815.826735,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729816.649244,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729818.191166,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729818.19044,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729848.29296,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729850.137378,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729850.157333,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729851.044051,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729851.284243,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729852.29149,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729852.900722,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729853.384273,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729853.716839,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729855.052124,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729855.053248,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729856.585808,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729856.898078,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729857.816706,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729858.226595,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729858.796524,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729859.350933,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729859.59023,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729859.967784,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729860.88695,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729861.408191,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729862.117744,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729862.307573,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729863.352438,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729863.51616,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729863.911907,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729864.142733,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729865.191081,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729865.192455,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729895.089335,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729895.913233,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729896.525191,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729897.146118,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729897.146795,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729898.066091,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729898.066686,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729898.677424,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729898.678356,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729899.290482,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729899.330197,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729899.768428,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A6E3QAJIQOFBQ'}
