
1625181640.602642,A1AVDSXTB7NNHU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181642.859488,A1AVDSXTB7NNHU,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181657.805237,A1AVDSXTB7NNHU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181889.029831,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181889.033131,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181890.775635,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181890.777274,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181891.388726,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181892.617534,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181893.682684,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181894.772202,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181895.127543,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181895.303869,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181896.004066,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181897.226282,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181897.84014,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181899.073012,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181901.729203,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181901.932814,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181903.062535,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181903.265404,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181904.597694,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181905.006246,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181906.003563,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181907.672638,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181907.983269,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181908.595098,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181909.517363,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181910.539256,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181911.834957,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181912.589367,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181913.206649,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181915.717369,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181916.273137,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181916.433316,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181917.944522,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181919.037393,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181919.652344,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181921.502292,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181921.503147,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181923.340328,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181923.341006,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181924.997394,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181924.998114,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181927.643339,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181927.644969,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181929.481898,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181929.482867,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181951.301512,A1AVDSXTB7NNHU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181954.065054,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181974.132015,A1AVDSXTB7NNHU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181976.794676,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181989.31561,A1AVDSXTB7NNHU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181997.569416,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1AVDSXTB7NNHU'}
