
1624905417.110334,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905425.926469,A1DKVUTOBPQH11,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1DKVUTOBPQH11'}
1624905457.285956,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905485.34284,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.347395,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.379441,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.414054,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.575914,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.924227,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905614.125288,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905614.525988,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905621.133044,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1DKVUTOBPQH11'}
1624905621.136748,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905643.935725,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1DKVUTOBPQH11'}
1624905643.936765,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624905664.442557,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624905664.442079,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1DKVUTOBPQH11'}
1624905694.403916,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624905787.652258,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624905797.554602,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905798.782822,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1DKVUTOBPQH11'}
1624905799.298277,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905845.378611,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624905846.300335,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905846.584891,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624905847.221526,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624905848.448937,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624905848.550877,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624905849.372352,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624905849.682356,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624905850.29477,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624905850.420124,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624905851.215256,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624905851.828422,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624905852.338221,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624905858.896272,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905859.734528,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905860.472255,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905861.049595,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624905861.349546,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624905861.9665,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624905866.573899,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624905866.575315,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624905866.981773,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624905868.419244,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624905868.619857,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624905869.340936,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624905869.680822,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624905869.811903,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624905870.241323,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624905870.873713,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624905871.110269,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624905871.796204,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624905872.41201,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624905872.412604,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624905872.488189,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624905874.869423,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624905874.870158,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624905875.176996,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624905879.478749,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624905879.479463,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624905895.334577,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624905895.338283,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624905898.216909,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905898.832589,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624905899.445099,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624905899.95975,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624905900.261276,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624905900.980789,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624905901.288531,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624905901.599778,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624905903.438038,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624905903.441406,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624905933.547058,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624905970.860122,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624905971.948233,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624905972.035523,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624905972.672937,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624905974.711084,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624905976.24857,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624905977.47702,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624905979.066403,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624905979.327395,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624905983.623045,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905984.237278,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624905985.464571,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624905985.690071,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624905986.385789,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624905986.691816,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624905987.000097,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624905990.994907,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905991.915142,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1DKVUTOBPQH11'}
1624905992.528318,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905995.59911,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624905995.600935,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624906025.709391,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906055.602679,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624906056.425282,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906056.48258,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906056.83539,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906057.09482,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906057.658281,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906058.112256,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906059.827227,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906060.730043,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906061.032973,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906061.841004,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906063.798269,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624906065.641495,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624906066.141043,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624906068.406135,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624906069.021074,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624906069.330001,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624906069.945683,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624906070.060133,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624906070.558689,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624906070.87649,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624906073.322918,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906073.958123,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1DKVUTOBPQH11'}
1624906074.344238,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624906080.409258,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906080.410056,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624906110.518025,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906112.646635,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906112.647974,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906113.565588,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624906113.566358,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624906114.486078,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906114.679059,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906115.41128,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906116.030617,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906116.032294,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906117.887754,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906139.370128,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624906144.900812,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624906146.129862,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624906146.177948,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624906148.280376,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624906150.737014,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624906150.892576,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624906152.580146,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624906153.19484,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624906153.196226,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624906155.037046,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624906155.652358,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1DKVUTOBPQH11'}
1624906163.332421,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624906163.333251,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906193.118595,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906194.694369,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624906194.96323,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624906195.802872,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906195.921719,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
