
1617475675.555615,A1QEQOI98976S0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QEQOI98976S0'}
1617475694.165032,A1QEQOI98976S0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QEQOI98976S0'}
1617475876.204704,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QEQOI98976S0'}
1617475914.116588,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617475920.812621,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617475920.817099,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1QEQOI98976S0'}
1617475930.425374,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617475931.455187,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617475933.394151,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617475934.968635,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617475935.319865,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617475937.199352,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617475937.93086,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617475939.079235,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617475939.499658,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617475941.169109,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617475941.330233,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617475941.586519,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617475942.861186,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617475943.153243,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617475943.194697,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617475945.245306,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617475946.913413,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617475947.015889,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617475947.225288,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617475948.584766,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617475948.793786,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617475950.360315,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617475950.507581,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617475951.164584,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617475952.555786,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617475952.601488,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617475954.025855,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617475954.182286,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617475954.354415,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617475956.317038,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617475956.522837,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617475958.403253,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1QEQOI98976S0'}
1617475958.407455,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617475977.935066,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617475978.144646,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617475978.320488,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476007.59851,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476007.912845,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476010.628505,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476010.631171,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1QEQOI98976S0'}
1617476017.94242,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1QEQOI98976S0'}
1617476017.964139,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476019.380283,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476019.714882,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476020.132675,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476021.386172,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617476021.475404,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617476021.64587,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617476023.056322,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476023.248016,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476023.475041,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476024.8343,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476024.840099,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476025.042729,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476026.923009,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476026.955771,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476027.130964,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476027.816202,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476028.070362,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476028.488778,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476029.534088,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476029.741957,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476030.26457,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476031.204347,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476031.415771,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476031.544756,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476032.771203,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476032.885905,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476033.085078,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476033.711316,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476033.811832,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476034.025185,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476035.398659,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476035.696286,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476035.80543,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476036.324537,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476036.434659,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476036.636343,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476037.996166,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476038.145689,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476038.412885,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476038.9342,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476039.560267,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476040.501142,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476041.233905,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476041.436696,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476041.753751,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476042.694764,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476042.817505,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476043.012209,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476044.260621,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476044.377706,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476045.973684,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476046.245266,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476046.663776,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476048.54539,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QEQOI98976S0'}
1617476048.547522,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476078.477101,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476090.881002,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476092.448292,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476093.521104,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476095.163119,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476096.519415,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476097.88438,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476098.923809,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476102.858656,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476102.859967,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QEQOI98976S0'}
1617476132.882349,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476140.7033,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476140.837976,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476142.374339,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476143.421786,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476144.360478,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476144.567979,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476145.822296,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476146.185105,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476146.553206,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476146.761779,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476147.283811,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476150.834738,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476152.935458,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617476153.550556,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476153.969509,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476154.909489,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476155.222937,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476155.953664,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476157.105731,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476158.041556,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476159.191714,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476160.024859,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476160.757434,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476160.869072,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476161.593629,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476162.428665,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476163.707328,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476164.997122,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476165.159889,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476166.095122,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476166.615333,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476167.66171,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476168.687584,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476169.324858,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476170.979595,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476170.983519,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QEQOI98976S0'}
1617476201.038572,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476202.713916,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476202.858973,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476203.130734,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476204.591721,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476204.799979,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476205.742541,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476207.32728,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476207.853719,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476208.906113,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476209.120416,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476210.233325,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476210.35208,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476211.62736,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617476212.812399,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476213.833171,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476214.618783,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476215.350562,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476216.185659,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476217.032618,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
