
1617243679.238299,AAH6HJWRC4JD2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAH6HJWRC4JD2'}
1617243686.128776,AAH6HJWRC4JD2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AAH6HJWRC4JD2'}
1617243710.879408,AAH6HJWRC4JD2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAH6HJWRC4JD2'}
1617244072.387145,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617244102.677917,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617244105.495537,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAH6HJWRC4JD2'}
1617244106.017447,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAH6HJWRC4JD2'}
1617244106.540205,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAH6HJWRC4JD2'}
1617244107.068067,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAH6HJWRC4JD2'}
1617244107.513455,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAH6HJWRC4JD2'}
1617244108.106347,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAH6HJWRC4JD2'}
1617244108.628588,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAH6HJWRC4JD2'}
1617244109.256107,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAH6HJWRC4JD2'}
1617244109.882352,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAH6HJWRC4JD2'}
1617244110.296407,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAH6HJWRC4JD2'}
1617244111.031328,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAH6HJWRC4JD2'}
1617244111.899919,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAH6HJWRC4JD2'}
1617244112.345084,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAH6HJWRC4JD2'}
1617244112.916913,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAH6HJWRC4JD2'}
1617244113.329981,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAH6HJWRC4JD2'}
1617244113.956306,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAH6HJWRC4JD2'}
1617244114.479158,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAH6HJWRC4JD2'}
1617244115.418881,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617244115.420358,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617244145.677256,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617244151.454703,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAH6HJWRC4JD2'}
1617244151.878349,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAH6HJWRC4JD2'}
1617244152.498184,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAH6HJWRC4JD2'}
1617244153.019842,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAH6HJWRC4JD2'}
1617244153.438118,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAH6HJWRC4JD2'}
1617244153.96344,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAH6HJWRC4JD2'}
1617244154.377711,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAH6HJWRC4JD2'}
1617244155.005192,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAH6HJWRC4JD2'}
1617244155.4228,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAH6HJWRC4JD2'}
1617244155.758883,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAH6HJWRC4JD2'}
1617244156.362347,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAH6HJWRC4JD2'}
1617244156.885689,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAH6HJWRC4JD2'}
1617244157.6178,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAH6HJWRC4JD2'}
1617244158.138834,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAH6HJWRC4JD2'}
1617244158.555893,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAH6HJWRC4JD2'}
1617244158.996422,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAH6HJWRC4JD2'}
1617244159.392791,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAH6HJWRC4JD2'}
1617244160.436855,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617244160.437277,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617244190.51723,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617244198.142305,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAH6HJWRC4JD2'}
1617244198.664735,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAH6HJWRC4JD2'}
1617244199.116398,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAH6HJWRC4JD2'}
1617244199.591634,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAH6HJWRC4JD2'}
1617244200.331499,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAH6HJWRC4JD2'}
1617244200.649353,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAH6HJWRC4JD2'}
1617244201.06752,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAH6HJWRC4JD2'}
1617244201.485456,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAH6HJWRC4JD2'}
1617244202.11169,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAH6HJWRC4JD2'}
1617244202.530557,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAH6HJWRC4JD2'}
1617244203.05118,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAH6HJWRC4JD2'}
1617244203.666488,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAH6HJWRC4JD2'}
1617244204.096024,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAH6HJWRC4JD2'}
1617244204.723026,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAH6HJWRC4JD2'}
1617244205.140607,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAH6HJWRC4JD2'}
1617244205.5586,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAH6HJWRC4JD2'}
1617244206.289231,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAH6HJWRC4JD2'}
1617244207.02076,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617244207.021605,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617244207.21215,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'complete', 'score': 31, 'worker-id': 'AAH6HJWRC4JD2'}
1617244213.28902,AAH6HJWRC4JD2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAH6HJWRC4JD2'}
1617244242.53393,AAH6HJWRC4JD2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AAH6HJWRC4JD2'}
1617244278.783288,AAH6HJWRC4JD2,{'stage': 0, 'action': 'opened-page', 'worker-id': 'AAH6HJWRC4JD2'}
1617244299.459551,AAH6HJWRC4JD2,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244299.876458,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.51,0.9271428571428572]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244300.921593,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5157142857142857,0.7985714285714286]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244301.861565,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5014285714285714,0.67]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244302.801745,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49,0.5914285714285714]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244303.741749,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49,0.5228571428571429]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244310.634737,AAH6HJWRC4JD2,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244311.156896,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7042857142857143,0.8014285714285714]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244311.931257,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7042857142857143,0.7171428571428572]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244313.246214,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7085714285714285,0.6057142857142858]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244314.082004,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.52,0.5285714285714286]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244316.067047,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5071428571428571,0.5028571428571429]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244321.497741,AAH6HJWRC4JD2,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244321.91534,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4942857142857143,0.6]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244322.333912,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4857142857142857,0.5414285714285715]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244322.873976,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49,0.5114285714285715]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244326.929357,AAH6HJWRC4JD2,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244327.13793,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5357142857142857,0.5885714285714285]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244327.478203,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5285714285714286,0.5571428571428572]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244328.287154,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5157142857142857,0.5314285714285715]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244330.983921,AAH6HJWRC4JD2,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244331.31985,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5057142857142857,0.6214285714285714]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244331.735751,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.5757142857142857]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244331.824628,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.45571428571428574,0.5285714285714286]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244332.151593,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.43857142857142856,0.5114285714285715]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
1617244332.57083,AAH6HJWRC4JD2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4542857142857143,0.48]', 'worker-id': 'AAH6HJWRC4JD2', 'stage': 0}
