
1616514482.118513,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1616514484.415877,A2OVET58SDVSB2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OVET58SDVSB2'}
1616514489.01559,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1616514557.740205,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514558.604451,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514559.306543,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514559.865617,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514561.187424,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514561.188172,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514563.011554,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVET58SDVSB2'}
1616514563.589071,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514564.217,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVET58SDVSB2'}
1616514564.737695,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVET58SDVSB2'}
1616514565.261327,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVET58SDVSB2'}
1616514565.782503,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVET58SDVSB2'}
1616514566.307939,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514566.644236,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVET58SDVSB2'}
1616514567.349242,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVET58SDVSB2'}
1616514568.186578,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVET58SDVSB2'}
1616514568.678922,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVET58SDVSB2'}
1616514570.171812,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514570.173102,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514600.146877,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514601.714846,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514602.134946,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514602.549454,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514603.489989,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514604.534523,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVET58SDVSB2'}
1616514605.369257,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514606.308798,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVET58SDVSB2'}
1616514607.145069,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVET58SDVSB2'}
1616514607.87668,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVET58SDVSB2'}
1616514608.608673,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVET58SDVSB2'}
1616514609.549182,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514610.069152,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514611.009187,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514612.575869,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514613.098098,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514613.516619,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVET58SDVSB2'}
1616514614.038853,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVET58SDVSB2'}
1616514614.668739,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVET58SDVSB2'}
1616514615.187268,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVET58SDVSB2'}
1616514616.231779,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514616.232664,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514646.209356,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514648.089721,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514649.134333,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514650.282776,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514650.7013,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514651.070132,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514651.85048,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514652.684823,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514653.833541,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVET58SDVSB2'}
1616514654.251834,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514654.878136,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVET58SDVSB2'}
1616514655.609321,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVET58SDVSB2'}
1616514656.445979,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVET58SDVSB2'}
1616514657.386699,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVET58SDVSB2'}
1616514658.117295,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514659.056373,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514659.996166,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514661.019504,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVET58SDVSB2'}
1616514661.667756,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVET58SDVSB2'}
1616514661.983125,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVET58SDVSB2'}
1616514662.608117,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVET58SDVSB2'}
1616514667.24198,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514667.255051,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514697.256386,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514699.074251,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514699.478416,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514700.314051,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514700.578737,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514701.463014,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514701.776202,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514702.507309,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514702.82078,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514703.240184,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514704.597179,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514704.985015,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514706.266961,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514706.790796,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514707.1028,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514707.833986,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514708.356653,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514708.879343,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514709.20795,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514710.351633,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVET58SDVSB2'}
1616514710.654587,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVET58SDVSB2'}
1616514711.073622,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVET58SDVSB2'}
1616514711.803759,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVET58SDVSB2'}
1616514712.534743,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVET58SDVSB2'}
1616514713.161207,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVET58SDVSB2'}
1616514713.578842,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVET58SDVSB2'}
1616514714.206075,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVET58SDVSB2'}
1616514714.832214,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514715.49564,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVET58SDVSB2'}
1616514716.503978,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514716.530146,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514746.585181,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514747.838633,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514748.152653,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514748.877721,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514749.196158,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514749.902392,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514750.140132,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514750.763676,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514750.971891,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514751.749887,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514752.121022,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514752.854326,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514753.377886,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514754.211636,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514755.358644,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514755.776542,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514757.031381,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVET58SDVSB2'}
1616514757.388683,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVET58SDVSB2'}
1616514757.865768,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVET58SDVSB2'}
1616514758.800309,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVET58SDVSB2'}
1616514759.223341,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVET58SDVSB2'}
1616514760.059397,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514760.476921,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVET58SDVSB2'}
1616514761.324711,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVET58SDVSB2'}
1616514762.043685,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVET58SDVSB2'}
1616514762.567483,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVET58SDVSB2'}
1616514763.505627,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514763.507134,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514793.482756,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514796.095354,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514796.512313,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2OVET58SDVSB2'}
1616514801.421758,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514801.734648,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2OVET58SDVSB2'}
1616514802.569077,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514802.883747,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2OVET58SDVSB2'}
1616514803.823899,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514804.114825,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2OVET58SDVSB2'}
1616514804.979597,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514805.28608,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2OVET58SDVSB2'}
1616514806.121579,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514806.343971,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2OVET58SDVSB2'}
1616514807.370083,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514807.533325,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2OVET58SDVSB2'}
1616514809.046662,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514809.258283,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2OVET58SDVSB2'}
1616514809.882238,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2OVET58SDVSB2'}
1616514811.23932,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OVET58SDVSB2'}
1616514812.018521,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2OVET58SDVSB2'}
1616514812.387892,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2OVET58SDVSB2'}
1616514812.806735,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OVET58SDVSB2'}
1616514813.74164,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2OVET58SDVSB2'}
1616514814.372871,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2OVET58SDVSB2'}
1616514814.791311,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2OVET58SDVSB2'}
1616514815.835155,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OVET58SDVSB2'}
1616514820.32857,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514820.329355,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514820.706084,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'complete', 'score': 69, 'worker-id': 'A2OVET58SDVSB2'}
1616514826.175618,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1616514829.101529,A2OVET58SDVSB2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OVET58SDVSB2'}
1616514856.08063,A2OVET58SDVSB2,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A2OVET58SDVSB2'}
1616514860.143156,A2OVET58SDVSB2,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2OVET58SDVSB2', 'stage': 0}
1616514863.359931,A2OVET58SDVSB2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.46714285714285714,0.9560317557198661]', 'worker-id': 'A2OVET58SDVSB2', 'stage': 0}
1616514864.822055,A2OVET58SDVSB2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.43,0.9360317557198661]', 'worker-id': 'A2OVET58SDVSB2', 'stage': 0}
1616514865.763045,A2OVET58SDVSB2,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.4042857142857143,0.9131746128627232]', 'worker-id': 'A2OVET58SDVSB2', 'stage': 0}
