
1629214413.642514,7490,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '7490'}
1629214952.874464,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214953.442485,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214954.024178,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214954.439338,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214954.802271,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214966.735285,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214967.555158,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629214967.63849,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629214968.029896,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629214968.432785,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629214968.779835,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629214975.753947,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214976.134539,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214979.846269,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214979.922178,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214980.667781,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214980.796588,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214981.490598,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629214982.036391,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215005.095559,7490,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '7490'}
1629215005.09636,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '7490'}
1629215049.079339,7490,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '7490'}
1629215049.081355,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7490'}
1629215071.64625,7490,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '7490'}
1629215071.64434,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7490'}
1629215101.739412,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7490'}
1629215105.434204,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215105.531489,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215108.515024,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215109.535192,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215120.590028,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215127.55934,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215136.345295,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7490'}
1629215136.97947,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7490'}
1629215138.21093,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215138.386349,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7490'}
1629215139.032817,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7490'}
1629215140.666705,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215140.667904,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215141.893503,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215142.310342,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215143.941961,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215143.944748,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215145.587549,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629215145.591086,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215147.396753,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215148.860866,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215149.683234,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215150.086833,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215150.568498,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215161.153903,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215163.68005,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7490'}
1629215193.927411,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7490'}
1629215195.566509,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215195.877886,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215196.862458,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215197.201561,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215197.610805,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215198.432272,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215198.534756,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215199.664357,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215200.484906,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215201.359033,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215202.263066,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215203.756267,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215204.738966,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215205.399821,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215206.94062,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7490'}
1629215207.171875,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7490'}
1629215208.679288,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215209.496585,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7490'}
1629215210.723081,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7490'}
1629215211.331164,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215212.144728,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629215213.597175,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215216.516433,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7490'}
1629215247.067148,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7490'}
1629215247.650309,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215248.411012,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215248.593454,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215248.752415,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215249.197992,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215250.0518,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215251.285558,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215251.359924,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215251.688077,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215251.817638,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215252.166142,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215252.540746,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215253.741911,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215253.746985,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215254.635674,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215255.01123,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215255.78446,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215256.606103,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215257.396009,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215258.653822,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215259.073173,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215259.478568,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215261.115432,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7490'}
1629215261.535041,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7490'}
1629215263.57666,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215263.574858,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7490'}
1629215265.211346,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7490'}
1629215265.292558,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215266.066912,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629215267.286544,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215270.126879,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7490'}
1629215300.44374,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7490'}
1629215301.666951,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215302.101942,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215303.719804,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215303.720624,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215304.202742,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215304.377853,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215305.013021,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215305.359254,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215306.997606,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215307.08926,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215309.455703,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215310.312393,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215310.679575,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215311.234273,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215311.555153,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215312.436903,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215313.516855,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215314.751017,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215315.568078,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215315.972678,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215316.477346,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215317.294373,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7490'}
1629215317.647921,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7490'}
1629215318.210937,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215318.520235,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7490'}
1629215319.660277,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7490'}
1629215320.067984,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215321.301501,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629215327.853233,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7490'}
1629215358.170519,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7490'}
1629215358.563388,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215358.987466,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215359.780508,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215359.893938,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215360.728516,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215361.10175,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215362.111303,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7490'}
1629215363.377239,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7490'}
1629215364.721016,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215365.132718,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7490'}
1629215365.543654,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7490'}
1629215366.365648,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629215366.785516,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215368.261446,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215369.705744,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215370.459339,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215370.864185,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215372.074049,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215372.075794,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215372.231553,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215372.379093,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215373.733613,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215373.736841,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215374.302994,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215374.55606,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215375.377507,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215375.448947,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215377.023417,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7490'}
1629215407.062036,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7490'}
1629215407.934404,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7490'}
1629215408.034714,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7490'}
1629215408.715018,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215409.166057,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
1629215409.977386,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215410.048108,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215411.172827,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '7490'}
1629215412.248725,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215412.842872,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215413.255777,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629215413.839207,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215414.161964,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7490'}
1629215415.296644,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215415.374231,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '7490'}
1629215416.527512,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7490'}
1629215417.087155,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7490'}
1629215418.167756,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7490'}
1629215418.79302,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '7490'}
1629215420.208219,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215420.628117,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7490'}
1629215421.441888,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215421.443726,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7490'}
1629215421.933971,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215422.085705,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7490'}
1629215422.850363,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215423.482542,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7490'}
1629215424.71807,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215424.720219,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7490'}
1629215425.119871,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215425.532964,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7490'}
1629215427.056987,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215427.058223,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7490'}
1629215441.493439,7490,{'stage': 'SAGAT', 'action': 'complete', 'score': 77, 'worker-id': '7490'}
1629215441.495756,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': '7490'}
1629215721.888975,7490,{'stage': 'networks', 'action': 'opened-page', 'worker-id': '7490'}
1629215721.895135,7490,{'stage': 'networks', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '7490'}
1629215721.908905,7490,{'stage': 'networks', 'action': 'side-panel-state', 'object': 'showing observation panel', 'worker-id': '7490'}
1629215790.705949,7490,{'stage': 'networks', 'action': 'side-panel-state', 'object': 'showing observation panel', 'worker-id': '7490'}
1629215790.707966,7490,{'stage': 'networks', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '7490'}
1629215794.808075,7490,{'stage': 'networks', 'action': 'side-panel-click', 'object': 'begin networks', 'worker-id': '7490'}
1629215805.857217,7490,{'stage': 'networks', 'action': 'ready for node selection #0', 'name': 'generateSimpleLine', 'worker-id': '7490'}
1629215805.859357,7490,{'stage': 'networks', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '7490'}
1629215816.103681,7490,{'stage': 'networks', 'puzzle': 'generateSimpleLine', 'action': 'node selected', 'object': 0, 'worker-id': '7490'}
1629215819.373236,7490,{'stage': 'networks', 'action': 'ready for node selection #1', 'name': 'generateSimpleLine', 'worker-id': '7490'}
1629215819.376629,7490,{'stage': 'networks', 'action': 'score from round #0', 'score': 3, 'name': 'generateSimpleLine', 'worker-id': '7490'}
1629215825.111701,7490,{'stage': 'networks', 'puzzle': 'generateSimpleLine', 'action': 'node selected', 'object': 2, 'worker-id': '7490'}
1629215827.240031,7490,{'stage': 'networks', 'action': 'score from round #1', 'score': 1, 'name': 'generateSimpleLine', 'worker-id': '7490'}
1629215827.243435,7490,{'stage': 'networks', 'action': 'ready for node selection #2', 'name': 'generateSimpleLine', 'worker-id': '7490'}
1629215828.387972,7490,{'stage': 'networks', 'puzzle': 'generateSimpleLine', 'action': 'node selected', 'object': 5, 'worker-id': '7490'}
1629215830.863039,7490,{'stage': 'networks', 'action': 'puzzle complete', 'name': 'generateSimpleLine', 'selections': [0, 2, 5], 'worker-id': '7490'}
1629215830.865969,7490,{'stage': 'networks', 'action': 'ready for node selection #3', 'name': 'generateSimpleLine', 'worker-id': '7490'}
1629215830.959709,7490,{'stage': 'networks', 'action': 'score from round #2', 'score': 2, 'name': 'generateSimpleLine', 'worker-id': '7490'}
1629215830.961589,7490,{'stage': 'networks', 'action': 'side-panel-state', 'object': 'showing puzzle complete panel', 'worker-id': '7490'}
