
1630098219.596681,3462,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '3462'}
1630098255.738828,3462,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '3462'}
1630098261.795296,3462,{'stage': 'tutorial', 'action': 'DID NOT consent to study', 'worker-id': '3462'}
1630098535.358659,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098537.838794,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '3462'}
1630098537.838043,3462,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '3462'}
1630098577.962141,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '3462'}
1630098577.962955,3462,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '3462'}
1630098592.795088,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '3462'}
1630098592.795828,3462,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '3462'}
1630098622.050681,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098622.787267,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098637.185768,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing incomplete cycle panel', 'worker-id': '3462'}
1630098645.03925,3462,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button incomplete panel', 'worker-id': '3462'}
1630098645.041276,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098659.014618,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098659.385818,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098659.956263,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098663.818787,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098664.762338,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098665.602358,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098668.414518,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098669.668881,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098669.897485,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098670.503435,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098674.766944,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098675.832611,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098676.355403,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098677.161043,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098678.024916,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098678.765887,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098679.17441,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098679.905426,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098680.539777,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098681.270291,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098681.888881,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '3462'}
1630098683.051526,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '3462'}
1630098705.183652,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098713.041003,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098716.670967,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098716.853129,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098717.928292,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098718.072984,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098719.222301,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098720.023611,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098720.156995,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098720.9204,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098721.081793,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098721.290698,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098723.050941,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098724.085913,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098724.2207,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098725.119148,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098726.076796,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098726.145038,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098727.324873,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098727.511273,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098727.951004,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098728.244053,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098728.859907,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098730.008309,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098730.875997,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098731.606491,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098732.237961,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098732.860651,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '3462'}
1630098733.803445,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098734.752711,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098735.357805,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098737.038744,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '3462'}
1630098767.329606,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098769.161657,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098769.481463,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098770.360581,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098771.507049,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098771.526654,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098772.301222,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098773.285827,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098774.053502,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098774.194548,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098774.476809,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098774.848963,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098775.089934,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098775.842946,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098777.365411,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098777.587103,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098778.086721,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098778.922295,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098778.986058,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098779.194763,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098779.549287,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098779.978317,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098780.702201,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098781.854066,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098782.368746,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098782.996672,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '3462'}
1630098784.249629,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098785.397629,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098785.924598,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098786.273965,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098787.177943,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098788.097517,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098788.700381,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098789.471996,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098790.414337,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098791.456374,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '3462'}
1630098821.85005,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098824.045954,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098824.777305,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098825.924413,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098826.135961,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098827.384212,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098827.644501,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098828.433487,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098828.621216,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098829.487509,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098830.463737,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098830.635858,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098831.356462,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098831.457137,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098832.267551,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098834.109524,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098834.595035,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098835.943849,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '3462'}
1630098837.218579,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098838.346762,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098839.190032,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098839.815882,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098840.621879,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098841.375233,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098842.209598,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098848.696484,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098849.21608,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098850.056708,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098850.177688,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098851.754946,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '3462'}
1630098881.816112,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098883.998273,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098884.232758,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098884.729571,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098885.459916,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098886.067155,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098887.260907,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098887.864536,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098888.537016,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098891.463835,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '3462'}
1630098892.567373,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098892.616171,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098893.607945,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098893.680511,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098894.497219,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098894.675679,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098895.283094,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098895.431313,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098896.101401,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098896.236358,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098897.161262,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098897.891635,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098898.202733,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098898.255286,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098899.252707,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098900.136036,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098900.847398,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098901.963567,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '3462'}
1630098931.939695,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098933.611744,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098933.785141,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098934.865351,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098934.903322,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '3462'}
1630098935.578903,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '3462'}
1630098935.717195,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '3462'}
1630098936.642235,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098936.983146,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '3462'}
1630098937.696348,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098937.778309,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '3462'}
1630098938.58462,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098938.58507,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '3462'}
1630098939.157695,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098939.276792,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '3462'}
1630098940.192437,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098940.202782,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '3462'}
1630098940.923466,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098941.07832,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '3462'}
1630098941.707736,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098941.836736,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '3462'}
1630098942.493069,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098942.668583,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '3462'}
1630098943.325496,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '3462'}
1630098944.271109,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '3462'}
1630098944.998552,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '3462'}
1630098945.731102,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '3462'}
1630098946.354447,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098947.070123,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098947.931905,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': '3462'}
1630098947.951133,3462,{'stage': 'SAGAT', 'action': 'complete', 'score': 55, 'worker-id': '3462'}
1630099173.757748,3462,{'stage': 'object tracking', 'action': 'opened-page', 'worker-id': '3462'}
1630099173.79305,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '3462'}
1630099186.898257,3462,{'stage': 'object tracking', 'action': 'side panel click', 'object': 'next button introduction', 'worker-id': '3462'}
1630099186.900136,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '3462'}
1630099195.779023,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '3462'}
1630099215.832324,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '3462'}
1630099217.922137,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 10, 'worker-id': '3462'}
1630099218.862303,3462,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 1, 'score': 1, 'worker-id': '3462'}
1630099218.862965,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '3462'}
1630099218.864498,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '3462'}
1630099221.871684,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '3462'}
1630099241.944705,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '3462'}
1630099242.885774,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '3462'}
1630099243.722027,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '3462'}
1630099244.482669,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '3462'}
1630099244.484424,3462,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 2, 'score': 2, 'worker-id': '3462'}
1630099244.516452,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '3462'}
1630099249.303185,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '3462'}
1630099269.415861,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '3462'}
1630099270.981673,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '3462'}
1630099271.960197,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '3462'}
1630099273.65085,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '3462'}
1630099274.847961,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '3462'}
1630099274.848546,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '3462'}
1630099274.873462,3462,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 3, 'score': 2, 'worker-id': '3462'}
1630099284.773723,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '3462'}
1630099305.035687,3462,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '3462'}
1630099306.080438,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 9, 'worker-id': '3462'}
1630099306.81157,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '3462'}
1630099307.643394,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 7, 'worker-id': '3462'}
1630099309.211164,3462,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '3462'}
1630099310.265717,3462,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '3462'}
