
1619977269.412667,A2YC6PEMIRSOAA,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977277.473223,A2YC6PEMIRSOAA,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977300.108969,A2YC6PEMIRSOAA,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977613.065641,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977615.573265,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977616.511917,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977619.332025,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977620.58589,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977621.525889,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977622.153204,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977624.035278,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977624.667109,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977625.287114,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977625.599886,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977625.988017,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977626.737846,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977627.329189,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977628.314796,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977628.628042,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977629.884974,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977630.508378,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977633.059053,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977633.059941,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977648.997374,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977649.622873,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977650.356151,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977651.085109,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977651.398704,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977652.025279,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977652.96542,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977652.967573,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977653.40852,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977654.219841,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977654.219336,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977654.532669,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977655.161309,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977655.16228,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977655.471748,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977655.960951,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977656.135713,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977656.411575,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977657.249367,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977657.250113,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977657.560985,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977658.606085,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977658.606859,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977668.634832,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977668.713234,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977669.376579,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977670.199968,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977670.303711,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977670.721758,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977672.031584,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977672.232423,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977672.392666,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977673.332469,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977673.357214,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977673.647009,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977674.272784,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977674.340828,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977675.213935,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977675.272206,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977675.526174,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977676.676687,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977676.67754,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977677.615154,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977678.559944,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977679.495032,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977680.121672,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977681.062448,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977681.688976,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977682.524275,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977683.464587,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977683.782583,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977684.718295,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977686.494896,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977686.495882,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977687.433686,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977687.437871,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977689.004665,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977690.253709,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977691.300591,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977691.301775,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977692.344083,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977692.344936,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977693.597031,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977693.597557,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977694.536496,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977694.537917,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977705.820566,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977705.821502,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977711.14423,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977711.145195,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977711.770254,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977711.854028,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977712.292914,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977712.606796,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977713.236062,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977713.238167,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977713.547063,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977713.860234,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977714.279794,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977714.303225,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977714.905589,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977714.907131,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977715.429598,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977715.431324,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977716.054564,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977716.144309,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977716.888611,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977717.82974,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977717.830212,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977718.456561,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977719.395422,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977719.475449,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977720.863584,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977721.484937,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977722.738023,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977723.678892,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977723.680742,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977724.618146,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977724.61906,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977738.091753,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977738.211432,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977738.928726,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977738.930217,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977738.998042,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977754.806975,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977761.98223,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977761.99109,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977781.962011,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977781.962605,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977782.274748,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977792.00723,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977801.180144,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977801.30312,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977803.213434,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977803.581947,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977804.15499,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977804.835985,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977805.775658,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977806.39524,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977806.479243,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977807.23802,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977808.179404,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977808.808518,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977809.431033,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977810.686763,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977810.688253,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2YC6PEMIRSOAA'}
