
1614276459.916579,A15AGJDQAZP1DI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A15AGJDQAZP1DI'}
1614277291.540822,A15AGJDQAZP1DI,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A15AGJDQAZP1DI'}
1614277305.224156,A15AGJDQAZP1DI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A15AGJDQAZP1DI'}
1614277549.383469,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A15AGJDQAZP1DI'}
1614277549.514942,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A15AGJDQAZP1DI'}
1614277551.199981,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A15AGJDQAZP1DI'}
1614277551.330161,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A15AGJDQAZP1DI'}
1614277552.558063,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277552.667374,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277552.975522,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277553.706882,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277554.252554,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277554.408652,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277554.549446,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277556.108532,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15AGJDQAZP1DI'}
1614277556.16632,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15AGJDQAZP1DI'}
1614277557.361861,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15AGJDQAZP1DI'}
1614277558.409642,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15AGJDQAZP1DI'}
1614277558.610488,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15AGJDQAZP1DI'}
1614277560.91311,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277562.270578,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15AGJDQAZP1DI'}
1614277562.335342,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15AGJDQAZP1DI'}
1614277563.211935,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15AGJDQAZP1DI'}
1614277564.221704,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277564.465134,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277564.581984,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277565.299008,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277565.397141,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277565.612878,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277565.674373,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277566.663779,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277566.971585,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277567.702779,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277570.104823,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15AGJDQAZP1DI'}
1614277570.205762,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15AGJDQAZP1DI'}
1614277572.08886,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277572.201827,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277572.378342,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277574.382284,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277574.384282,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277602.900122,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A15AGJDQAZP1DI'}
1614277604.363488,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A15AGJDQAZP1DI'}
1614277606.348435,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A15AGJDQAZP1DI'}
1614277607.605943,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A15AGJDQAZP1DI'}
1614277609.535974,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A15AGJDQAZP1DI'}
1614277612.417281,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277612.423736,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277623.368867,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277623.3705,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277630.272885,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277630.270746,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277633.819941,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277633.821914,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277637.370274,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277640.71324,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15AGJDQAZP1DI'}
1614277642.489069,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277651.157624,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A15AGJDQAZP1DI'}
