
1616340973.360664,A2GTO3481Z6486,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2GTO3481Z6486'}
1616341005.236183,A2GTO3481Z6486,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2GTO3481Z6486'}
1616341094.083218,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2GTO3481Z6486'}
1616341123.954272,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341137.114614,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341138.157386,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2GTO3481Z6486'}
1616341139.515379,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2GTO3481Z6486'}
1616341140.246781,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2GTO3481Z6486'}
1616341141.083302,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2GTO3481Z6486'}
1616341141.60543,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2GTO3481Z6486'}
1616341142.451752,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2GTO3481Z6486'}
1616341143.067292,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2GTO3481Z6486'}
1616341143.798388,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2GTO3481Z6486'}
1616341144.529257,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2GTO3481Z6486'}
1616341145.470964,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341146.095686,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341147.036962,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341147.476081,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341148.185531,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341148.924008,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341149.646919,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341151.110883,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2GTO3481Z6486'}
1616341151.111336,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341181.190867,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341184.723908,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341185.069908,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341190.382681,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341190.90502,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341191.322808,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341193.097817,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341193.515691,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341194.880871,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341195.814138,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341196.027231,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341196.440882,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341200.201554,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2GTO3481Z6486'}
1616341200.619149,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2GTO3481Z6486'}
1616341201.454514,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2GTO3481Z6486'}
1616341203.316275,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341203.31668,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2GTO3481Z6486'}
1616341233.51997,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341235.282715,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341235.922512,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341242.969389,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341244.064532,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341244.696096,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341247.728515,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2GTO3481Z6486'}
1616341248.248994,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2GTO3481Z6486'}
1616341248.45712,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2GTO3481Z6486'}
1616341250.963851,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341251.696438,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341252.216535,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341252.843388,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2GTO3481Z6486'}
1616341253.470461,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2GTO3481Z6486'}
1616341253.887569,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2GTO3481Z6486'}
1616341254.726491,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2GTO3481Z6486'}
1616341256.290974,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2GTO3481Z6486'}
1616341257.964434,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2GTO3481Z6486'}
1616341258.903802,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341259.841275,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341261.200066,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341261.826964,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341262.138844,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341264.542636,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2GTO3481Z6486'}
1616341264.543438,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341294.518622,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341296.189737,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341296.399906,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341298.487361,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2GTO3481Z6486'}
1616341298.69856,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2GTO3481Z6486'}
1616341300.890357,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341301.203028,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341301.725769,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341306.635192,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341308.096465,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341308.723806,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341308.790086,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341309.768318,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341311.440181,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341312.483749,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2GTO3481Z6486'}
1616341313.005919,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2GTO3481Z6486'}
1616341314.469948,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341315.199246,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2GTO3481Z6486'}
1616341315.826712,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2GTO3481Z6486'}
1616341316.661766,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341318.229333,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2GTO3481Z6486'}
1616341318.765215,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2GTO3481Z6486'}
1616341320.005905,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2GTO3481Z6486'}
1616341320.635202,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2GTO3481Z6486'}
1616341322.61801,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341322.930082,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341324.181963,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341325.750286,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2GTO3481Z6486'}
1616341325.751067,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341355.728954,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341357.816603,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341358.127725,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341359.007118,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341359.490513,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341360.428015,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341360.85175,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341361.366924,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341361.487627,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341362.311096,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341362.423517,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341363.351006,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341364.189454,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341364.813135,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341365.858676,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341366.172606,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341366.696175,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341368.887915,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2GTO3481Z6486'}
1616341369.617242,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341370.035419,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2GTO3481Z6486'}
1616341372.124631,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341372.125809,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2GTO3481Z6486'}
1616341402.108029,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341404.505861,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2GTO3481Z6486'}
1616341404.921704,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2GTO3481Z6486'}
1616341405.862956,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341406.176319,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2GTO3481Z6486'}
1616341406.802552,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341407.219979,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2GTO3481Z6486'}
1616341407.638245,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341407.847338,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2GTO3481Z6486'}
1616341408.578803,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341408.696378,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2GTO3481Z6486'}
1616341409.310517,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341409.517213,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2GTO3481Z6486'}
1616341410.248127,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341410.297292,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2GTO3481Z6486'}
1616341410.981031,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341411.09922,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2GTO3481Z6486'}
1616341412.232932,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2GTO3481Z6486'}
1616341413.27778,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2GTO3481Z6486'}
1616341413.929282,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2GTO3481Z6486'}
1616341414.635595,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2GTO3481Z6486'}
1616341415.890802,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2GTO3481Z6486'}
1616341416.464976,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2GTO3481Z6486'}
1616341416.724648,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2GTO3481Z6486'}
1616341418.192997,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2GTO3481Z6486'}
1616341419.024534,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2GTO3481Z6486'}
1616341421.325269,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2GTO3481Z6486'}
1616341421.326153,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A2GTO3481Z6486'}
1616341421.475602,A2GTO3481Z6486,{'stage': 'SAGAT', 'action': 'complete', 'score': 32, 'worker-id': 'A2GTO3481Z6486'}
1616341426.963866,A2GTO3481Z6486,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2GTO3481Z6486'}
1616341486.392899,A2GTO3481Z6486,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2GTO3481Z6486'}
1616341602.756171,A2GTO3481Z6486,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A2GTO3481Z6486'}
1616341627.608375,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341627.723919,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341629.046649,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341630.536293,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6757142857142857,0.8457142857142858]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341634.084112,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341635.023648,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.61,0.8485714285714285]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341649.542195,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341651.006067,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7142857142857143,0.7871428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341651.424078,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.73,0.7714285714285715]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341652.052822,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7128571428571429,0.7028571428571428]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341653.094161,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7028571428571428,0.6442857142857142]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341653.828953,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6614285714285715,0.6371428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341654.557901,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6414285714285715,0.6]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341654.975198,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6142857142857143,0.58]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341655.394345,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5814285714285714,0.5614285714285714]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341655.91509,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5585714285714286,0.5371428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341656.332934,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5371428571428571,0.5228571428571429]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341659.049358,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5428571428571428,0.5214285714285715]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
